driverId,name,ssn,location,certified,wage-plan
10,Heather Petersen,052-17-3053,"74732 Megan Canyon Apt. 213
Chelseaport, PW 48315",N,hours
11,Joanne Nichols,376-82-4026,"79273 Sarah Gardens Suite 767
East Melindaville, PA 21635",N,miles
12,Natasha Martinez,855-97-9978,"52914 Harrison Summit Suite 712
Parkerhaven, NM 92847",Y,miles
13,Natasha Osborn,418-12-8614,"1066 Julia Falls
West Robertside, MP 53279",Y,miles
14,Luis Richardson,610-36-5243,"44516 Preston Dale
Port Eric, IL 98175",N,hours
15,Leah Jones,653-52-9410,"4194 Nathan Canyon Apt. 073
Lindseymouth, NC 13024",Y,miles
16,Theresa Cox,156-14-1506,"5593 Duffy Lock Suite 736
Apriltown, IN 58527",Y,hours
17,Bryan Simpson,019-73-7128,"6903 Cassidy Camp Suite 264
East Aaron, HI 15327",Y,hours
18,Curtis Webster,673-89-5917,"3244 Williams Trace Suite 493
Zimmermanburgh, AR 08071",N,miles
19,Justin Boyd,150-57-1375,"30212 Joseph Isle Suite 344
Lake Ellen, OR 95819",N,miles
20,Gregory Ayers,239-63-7696,"834 Steven Crossing
Batesmouth, MI 32722",N,hours
21,Diana Williams,438-31-6009,"70622 Tony Vista Suite 606
Perezfort, NH 30801",Y,hours
22,Chris Contreras,752-33-2306,"146 Juan Road
North Jenny, PA 37194",Y,miles
23,Heather Williams,558-24-7262,"68540 Hannah Cliffs Suite 877
Lake Candice, OR 98708",N,miles
24,Adam Daniels,384-83-0080,"8678 Jordan Branch
New Andreabury, TN 47745",Y,miles
25,Clinton Lopez,561-45-5782,"PSC 0436, Box 7965
APO AA 39843",N,miles
26,Joel Gutierrez,699-83-7261,"50323 Burton Wells Suite 298
Marshalltown, MS 18069",Y,hours
27,Michael Young,634-94-3910,"564 Lisa Vista
West Amy, GU 88219",Y,miles
28,Sandy Rogers,578-02-2555,"568 John Keys
Robertbury, TN 29608",Y,hours
29,Daniel Hansen,696-55-9700,"14548 Donald Shore
New Erinfurt, NE 15357",N,hours
30,Christopher Nguyen,467-33-5492,"25615 Steven Garden Apt. 853
Mathewsburgh, AR 21341",Y,hours
31,Paul Graham,072-19-1372,"785 Mccoy Valley Suite 853
Piercemouth, ND 03908",Y,miles
32,Andrew Jackson,028-95-5487,"8347 Jennifer Estate
Carriebury, WI 45918",N,hours
33,Angelica Skinner,166-25-9601,"94607 Peter Plaza Suite 217
North Stephanie, FL 46797",N,hours
34,Mike Carpenter,866-14-7320,"5073 Martinez Crossroad
Lake Sabrina, AK 08814",Y,miles
35,Deborah Hardy,433-23-2459,"181 Nancy Islands
Schaeferhaven, NJ 22475",N,hours
36,Stacy Carter,632-70-7496,"221 Brian Fields Apt. 172
Vincentport, WI 89677",Y,hours
37,Samantha Dalton,341-67-3211,"8686 Wilson Courts Apt. 179
Pittmanville, MN 12153",N,miles
38,Sheila Hicks,653-95-0193,"927 Walters Freeway
South Brian, MD 04402",Y,hours
39,Cole Hubbard,771-54-5760,"4039 Jones Roads Apt. 712
Port Daniel, WY 15669",N,hours
40,Johnathan Lamb,316-12-6008,"55459 Scott Cape
New Lindsay, KY 26594",N,hours
41,Seth Ferguson,478-23-6829,"3849 Jessica Rue Apt. 135
North Shaun, MO 48890",Y,hours
